pubchem id,common name,flavor profile
138824,"3,7,11-Trimethyl-1-dodecanol",{''}
14079,2-Acetylpyrrole,"{'bread', 'coumarin', 'walnut', 'nut', 'licorice', 'musty', 'nutty'}"
14092,1-Methyl-3-Propylbenzene,{''}
14104,Thymol methyl ether,"{'woody', 'burnt', 'smoky'}"
14109402,Ganoderic acid A,{'bitter'}
141850,1-Phenylethanethiol,"{'floral', 'meaty', 'sulfurous', 'tropical'}"
142266,Benzyl 3-oxobutanoate,"{'benzyl acetate', 'benzyl propionate', 'floral', 'sweet', 'fruity'}"
14228,Hexyl octanoate,"{'berry', 'apple', 'ester', 'oil', 'herb', 'green', 'waxy', 'fruity'}"
14235,Myrcenyl acetate,"{'nutmeg', 'floral', 'citrus', 'woody', 'lavender', 'bergamot'}"
14257,Undecane,{'alkane'}
14286,2-Acetylpyridine,"{'corn', 'tobacco', 'fatty', 'popcorn', 'oily', 'chip', 'heavy'}"
14296,"2,3,5,6-Tetramethylpyrazine","{'coffee', 'burnt', 'cocoa', 'chocolate', 'lard', 'musty', 'nutty', 'soybean'}"
14328,"3',4'-Dimethoxyacetophenone","{'floral', 'sweet', 'woody'}"
14475,2-Methylheptanoic Acid,"{'milk', 'sweaty', 'butter', 'green', 'cheese', 'waxy'}"
14489,Prenyl acetate,"{'jasmin', 'lavender', 'ripe', 'sweet', 'banana', 'fresh', 'balsam', 'heliotrope', 'fruity'}"
14491,"1,6-Hexanedithiol","{'meaty', 'burnt', 'fatty'}"
14505,2-Acetylfuran,"{'caramel', 'potato', 'cocoa', 'almond', 'tobacco', 'balsamic', 'coffee', 'peanut', 'sweet', 'beef', 'balsam'}"
14511,3-Methyl-2-Cyclohexen-1-One,"{'cherry', 'caramel', 'nut', 'phenolic'}"
14514,2-Acetyl-5-Methylfuran,"{'coumarin', 'strong', 'milky', 'nutty', 'musty', 'coconut', 'hay'}"
14525,Fenchone,"{'thuja', 'camphor', 'woody', 'bitter', 'cedarleaf', 'herbal', 'earthy'}"
14529,2-(4-methylphenyl)propan-2-ol,"{'coumarin', 'camphor', 'cherry', 'fruity', 'citrus', 'floral', 'sweet', 'must'}"
145386,Phytol,{''}
145659,Sinensetin,{'bitter'}
146586,Prenylthiol,"{'sulfurous', 'leek', 'onion', 'smoke', 'amine'}"
14778,Calcium Oxide,{'odorless'}
14896,Beta-Pinene,"{'resin', 'pine', 'turpentine', 'woody', 'green', 'dry', 'resinous', 'hay'}"
1491,"2,4-dihydroxybenzoic acid","{'mild', 'phenolic'}"
15037,1-Furfurylpyrrole,"{'vegetable', 'plastic', 'coffee', 'green', 'waxy', 'fruity'}"
15094,"7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1H-naphthalene","{'spice', 'woody', 'wood', 'herb', 'herbal'}"
151199,2-(4-Methoxyphenoxy)propanoic acid,{'bland'}
15268,2-Methyltetradecane,{''}
15269,2-Methyltridecane,{''}
